Country,Date
Aruba,2020-01-22
Aruba,2020-01-23
Aruba,2020-01-24
Aruba,2020-01-25
Aruba,2020-01-26
Aruba,2020-01-27
Aruba,2020-01-28
Aruba,2020-01-29
Aruba,2020-01-30
Aruba,2020-01-31
Aruba,2020-02-01
Aruba,2020-02-02
Aruba,2020-02-03
Aruba,2020-02-04
Aruba,2020-02-05
Aruba,2020-02-06
Aruba,2020-02-07
Aruba,2020-02-08
Aruba,2020-02-09
Aruba,2020-02-10
Aruba,2020-02-11
Aruba,2020-02-12
Aruba,2020-02-13
Aruba,2020-02-14
Aruba,2020-02-15
Aruba,2020-02-16
Aruba,2020-02-17
Aruba,2020-02-18
Aruba,2020-02-19
Aruba,2020-02-20
Aruba,2020-02-21
Aruba,2020-02-22
Aruba,2020-02-23
Aruba,2020-02-24
Aruba,2020-02-25
Aruba,2020-02-26
Aruba,2020-02-27
Aruba,2020-02-28
Aruba,2020-02-29
Aruba,2020-03-01
Aruba,2020-03-02
Aruba,2020-03-03
Aruba,2020-03-04
Aruba,2020-03-05
Aruba,2020-03-06
Aruba,2020-03-07
Aruba,2020-03-08
Aruba,2020-03-09
Aruba,2020-03-10
Aruba,2020-03-11
Aruba,2020-03-12
Aruba,2020-03-13
Aruba,2020-03-14
Aruba,2020-03-15
Aruba,2020-03-16
Aruba,2020-03-17
Aruba,2020-03-18
Aruba,2020-03-19
Aruba,2020-03-20
Aruba,2020-03-21
Aruba,2020-03-22
Aruba,2020-03-23
Aruba,2020-03-24
Aruba,2020-03-25
Aruba,2020-03-26
Aruba,2020-03-27
Aruba,2020-03-28
Aruba,2020-03-29
Aruba,2020-03-30
Aruba,2020-03-31
Aruba,2020-04-01
Aruba,2020-04-02
Aruba,2020-04-03
Aruba,2020-04-04
Aruba,2020-04-05
Aruba,2020-04-06
Aruba,2020-04-07
Aruba,2020-04-08
Aruba,2020-04-09
Aruba,2020-04-10
Aruba,2020-04-11
Aruba,2020-04-12
Aruba,2020-04-13
Aruba,2020-04-14
Aruba,2020-04-15
Aruba,2020-04-16
Aruba,2020-04-17
Aruba,2020-04-18
Aruba,2020-04-19
Aruba,2020-04-20
Aruba,2020-04-21
Aruba,2020-04-22
Aruba,2020-04-23
Aruba,2020-04-24
Aruba,2020-04-25
Aruba,2020-04-26
Aruba,2020-04-27
Aruba,2020-04-28
Aruba,2020-04-29
Aruba,2020-04-30
Aruba,2020-05-01
Aruba,2020-05-02
Aruba,2020-05-03
Aruba,2020-05-04
Aruba,2020-05-05
Aruba,2020-05-06
Aruba,2020-05-07
Aruba,2020-05-08
Aruba,2020-05-09
Aruba,2020-05-10
Aruba,2020-05-11
Aruba,2020-05-12
Aruba,2020-05-13
Aruba,2020-05-14
Aruba,2020-05-15
Aruba,2020-05-16
Aruba,2020-05-17
Aruba,2020-05-18
Aruba,2020-05-19
Aruba,2020-05-20
Aruba,2020-05-21
Aruba,2020-05-22
Aruba,2020-05-23
Aruba,2020-05-24
Aruba,2020-05-25
Aruba,2020-05-26
Aruba,2020-05-27
Aruba,2020-05-28
Aruba,2020-05-29
Aruba,2020-05-30
Aruba,2020-05-31
Aruba,2020-06-01
Aruba,2020-06-02
Aruba,2020-06-03
Aruba,2020-06-04
Aruba,2020-06-05
Aruba,2020-06-06
Aruba,2020-06-07
Aruba,2020-06-08
Aruba,2020-06-09
Aruba,2020-06-10
Aruba,2020-06-11
Aruba,2020-06-12
Aruba,2020-06-13
Aruba,2020-06-14
Aruba,2020-06-15
Antigua and Barbuda,2020-01-22
Antigua and Barbuda,2020-01-23
Antigua and Barbuda,2020-01-24
Antigua and Barbuda,2020-01-25
Antigua and Barbuda,2020-01-26
Antigua and Barbuda,2020-01-27
Antigua and Barbuda,2020-01-28
Antigua and Barbuda,2020-01-29
Antigua and Barbuda,2020-01-30
Antigua and Barbuda,2020-01-31
Antigua and Barbuda,2020-02-01
Antigua and Barbuda,2020-02-02
Antigua and Barbuda,2020-02-03
Antigua and Barbuda,2020-02-04
Antigua and Barbuda,2020-02-05
Antigua and Barbuda,2020-02-06
Antigua and Barbuda,2020-02-07
Antigua and Barbuda,2020-02-08
Antigua and Barbuda,2020-02-09
Antigua and Barbuda,2020-02-10
Antigua and Barbuda,2020-02-11
Antigua and Barbuda,2020-02-12
Antigua and Barbuda,2020-02-13
Antigua and Barbuda,2020-02-14
Antigua and Barbuda,2020-02-15
Antigua and Barbuda,2020-02-16
Antigua and Barbuda,2020-02-17
Antigua and Barbuda,2020-02-18
Antigua and Barbuda,2020-02-19
Antigua and Barbuda,2020-02-20
Antigua and Barbuda,2020-02-21
Antigua and Barbuda,2020-02-22
Antigua and Barbuda,2020-02-23
Antigua and Barbuda,2020-02-24
Antigua and Barbuda,2020-02-25
Antigua and Barbuda,2020-02-26
Antigua and Barbuda,2020-02-27
Antigua and Barbuda,2020-02-28
Antigua and Barbuda,2020-02-29
Antigua and Barbuda,2020-03-01
Antigua and Barbuda,2020-03-02
Antigua and Barbuda,2020-03-03
Antigua and Barbuda,2020-03-04
Antigua and Barbuda,2020-03-05
Antigua and Barbuda,2020-03-06
Antigua and Barbuda,2020-03-07
Antigua and Barbuda,2020-03-08
Antigua and Barbuda,2020-03-09
Antigua and Barbuda,2020-03-10
Antigua and Barbuda,2020-03-11
Antigua and Barbuda,2020-03-12
Antigua and Barbuda,2020-03-13
Antigua and Barbuda,2020-03-14
Antigua and Barbuda,2020-03-15
Antigua and Barbuda,2020-03-16
Antigua and Barbuda,2020-03-17
Antigua and Barbuda,2020-03-18
Antigua and Barbuda,2020-03-19
Antigua and Barbuda,2020-03-20
Antigua and Barbuda,2020-03-21
Antigua and Barbuda,2020-03-22
Antigua and Barbuda,2020-03-23
Antigua and Barbuda,2020-03-24
Antigua and Barbuda,2020-03-25
Antigua and Barbuda,2020-03-26
Antigua and Barbuda,2020-03-27
Antigua and Barbuda,2020-03-28
Antigua and Barbuda,2020-03-29
Antigua and Barbuda,2020-03-30
Antigua and Barbuda,2020-03-31
Antigua and Barbuda,2020-04-01
Antigua and Barbuda,2020-04-02
Antigua and Barbuda,2020-04-03
Antigua and Barbuda,2020-04-04
Antigua and Barbuda,2020-04-05
Antigua and Barbuda,2020-04-06
Antigua and Barbuda,2020-04-07
Antigua and Barbuda,2020-04-08
Antigua and Barbuda,2020-04-09
Antigua and Barbuda,2020-04-10
Antigua and Barbuda,2020-04-11
Antigua and Barbuda,2020-04-12
Antigua and Barbuda,2020-04-13
Antigua and Barbuda,2020-04-14
Antigua and Barbuda,2020-04-15
Antigua and Barbuda,2020-04-16
Antigua and Barbuda,2020-04-17
Antigua and Barbuda,2020-04-18
Antigua and Barbuda,2020-04-19
Antigua and Barbuda,2020-04-20
Antigua and Barbuda,2020-04-21
Antigua and Barbuda,2020-04-22
Antigua and Barbuda,2020-04-23
Antigua and Barbuda,2020-04-24
Antigua and Barbuda,2020-04-25
Antigua and Barbuda,2020-04-26
Antigua and Barbuda,2020-04-27
Antigua and Barbuda,2020-04-28
Antigua and Barbuda,2020-04-29
Antigua and Barbuda,2020-04-30
Antigua and Barbuda,2020-05-01
Antigua and Barbuda,2020-05-02
Antigua and Barbuda,2020-05-03
Antigua and Barbuda,2020-05-04
Antigua and Barbuda,2020-05-05
Antigua and Barbuda,2020-05-06
Antigua and Barbuda,2020-05-07
Antigua and Barbuda,2020-05-08
Antigua and Barbuda,2020-05-09
Antigua and Barbuda,2020-05-10
Antigua and Barbuda,2020-05-11
Antigua and Barbuda,2020-05-12
Antigua and Barbuda,2020-05-13
Antigua and Barbuda,2020-05-14
Antigua and Barbuda,2020-05-15
Antigua and Barbuda,2020-05-16
Antigua and Barbuda,2020-05-17
Antigua and Barbuda,2020-05-18
Antigua and Barbuda,2020-05-19
Antigua and Barbuda,2020-05-20
Antigua and Barbuda,2020-05-21
Antigua and Barbuda,2020-05-22
Antigua and Barbuda,2020-05-23
Antigua and Barbuda,2020-05-24
Antigua and Barbuda,2020-05-25
Antigua and Barbuda,2020-05-26
Antigua and Barbuda,2020-05-27
Antigua and Barbuda,2020-05-28
Antigua and Barbuda,2020-05-29
Antigua and Barbuda,2020-05-30
Antigua and Barbuda,2020-05-31
Antigua and Barbuda,2020-06-01
Antigua and Barbuda,2020-06-02
Antigua and Barbuda,2020-06-03
Antigua and Barbuda,2020-06-04
Antigua and Barbuda,2020-06-05
Antigua and Barbuda,2020-06-06
Antigua and Barbuda,2020-06-07
Antigua and Barbuda,2020-06-08
Antigua and Barbuda,2020-06-09
Antigua and Barbuda,2020-06-10
Antigua and Barbuda,2020-06-11
Antigua and Barbuda,2020-06-12
Antigua and Barbuda,2020-06-13
Antigua and Barbuda,2020-06-14
Antigua and Barbuda,2020-06-15
Afghanistan,2020-01-22
Afghanistan,2020-01-23
Afghanistan,2020-01-24
Afghanistan,2020-01-25
Afghanistan,2020-01-26
Afghanistan,2020-01-27
Afghanistan,2020-01-28
Afghanistan,2020-01-29
Afghanistan,2020-01-30
Afghanistan,2020-01-31
Afghanistan,2020-02-01
Afghanistan,2020-02-02
Afghanistan,2020-02-03
Afghanistan,2020-02-04
Afghanistan,2020-02-05
Afghanistan,2020-02-06
Afghanistan,2020-02-07
Afghanistan,2020-02-08
Afghanistan,2020-02-09
Afghanistan,2020-02-10
Afghanistan,2020-02-11
Afghanistan,2020-02-12
Afghanistan,2020-02-13
Afghanistan,2020-02-14
Afghanistan,2020-02-15
Afghanistan,2020-02-16
Afghanistan,2020-02-17
Afghanistan,2020-02-18
Afghanistan,2020-02-19
Afghanistan,2020-02-20
Afghanistan,2020-02-21
Afghanistan,2020-02-22
Afghanistan,2020-02-23
Afghanistan,2020-02-24
Afghanistan,2020-02-25
Afghanistan,2020-02-26
Afghanistan,2020-02-27
Afghanistan,2020-02-28
Afghanistan,2020-02-29
Afghanistan,2020-03-01
Afghanistan,2020-03-02
Afghanistan,2020-03-03
Afghanistan,2020-03-04
Afghanistan,2020-03-05
